GEO_ID,ZIPCODE,TOTAL_POP,HISP_LAT,HISP_LAT_%,NON_HISP_WHITE,WHITE_%,NON_HISP_BLACK,BLACK_%,NON_HISP_NATIVE,NATIVE_%,NON_HISP_ASIAN,ASIAN_%,NON_HISP_NHPI,NHPI_%,NON_HISP_OTHER,OTHER_%,HHLD_COUNT,HHLD_ERR,HHLD_INC_lessthan5k,lessthan5k_%,HHLD_INC_5k10k,5k10_%,HHLD_INC_10k15k,10k15k_%,HHLD_INC_15k20k,15k20k_%,HHLD_INC_20k25k,20k25k_%,HHLD_INC_25k35k,25k35k_%,HHLD_INC_35k50k,35k50k_%,HHLD_INC_50k75k,50k75k_%,HHLD_INC_75k100k,75k100k_%,HHLD_INC_100k150k,100k150k_%,HHLD_INC_150kormore,150kormore_%,MEDIAN_HHLD_INC,HHLD_SUPPSEC_INC,SUPPSEC_%,HHLD_PUBASSIST_INC,PUBASSIST_%,EDUC_TOT,EDUC_lessthanhighschooldip,lessthandhighschooldip_%,EDUC_highschoolorged,highschoolorged_%,EDUC_somecollegeorassociate,somecollegeorassociate_%,EDUC_bachorhigher,bachorhigher_%
860Z200US97005,97005,26873,8067,0.300189782,13923,0.518103673,759,0.028243962,129,0.004800357,2040,0.075912626,166,0.006177204,133,0.004949206,11355,564,314,0.027653016,272,0.023954205,315,0.027741083,509,0.044826068,526,0.046323206,931,0.081990313,1695,0.149273448,2185,0.192426244,1606,0.141435491,1692,0.149009247,1310,0.115367679,61919,601,0.052928225,1750,0.154117129,21641,2723,0.125825978,5304,0.245090338,7115,0.328774086,6499,0.300309598
860Z200US97008,97008,29632,5571,0.18800621,18923,0.638600162,717,0.024196814,85,0.002868521,2034,0.068642009,163,0.00550081,175,0.005905778,12367,682,289,0.023368642,228,0.018436161,509,0.04115792,208,0.016818954,563,0.045524379,765,0.061858171,1152,0.093151128,2149,0.173768901,1857,0.150157678,2686,0.217190911,1961,0.158567155,77257,467,0.037761785,1241,0.1003477,23997,2001,0.083385423,5003,0.208484394,6962,0.290119598,10031,0.418010585
860Z200US97086,97086,32612,3188,0.097755427,20722,0.635410278,751,0.023028333,156,0.004783515,5497,0.168557586,204,0.006255366,186,0.005703422,11589,542,288,0.024851152,152,0.013115886,594,0.051255501,209,0.018034343,192,0.016567435,823,0.071015618,900,0.07765985,1494,0.128915351,1363,0.117611528,2165,0.186815083,3409,0.294158254,94416,503,0.043403227,1361,0.117438951,24628,1513,0.06143414,4665,0.189418548,8267,0.335674842,10183,0.41347247
860Z200US97201,97201,17352,1438,0.082872291,12102,0.697441217,529,0.030486399,100,0.005763024,1761,0.10148686,47,0.002708621,156,0.008990318,9138,488,743,0.08130882,625,0.06839571,502,0.054935434,283,0.030969578,430,0.047056249,647,0.070803239,728,0.079667323,1209,0.132304662,917,0.100350186,1246,0.136353688,1808,0.197855111,59811,343,0.037535566,1120,0.122565113,15731,675,0.042908906,1378,0.087597737,5070,0.32229356,8608,0.547199797
860Z200US97202,97202,43193,2940,0.068066585,33709,0.780427384,729,0.016877735,152,0.003519089,2209,0.051142546,72,0.001666937,256,0.005926886,18265,762,608,0.033287709,428,0.023432795,772,0.04226663,456,0.024965782,356,0.019490829,1067,0.058417739,1759,0.096304407,2592,0.141910758,2070,0.113331508,3357,0.183794142,4800,0.262797701,87266,657,0.035970435,2409,0.131891596,35841,1948,0.054351162,3779,0.105437906,10132,0.282693005,19982,0.557517926
860Z200US97203,97203,33763,6195,0.18348488,19724,0.584189794,2772,0.082101709,262,0.007759974,1578,0.046737553,373,0.011047596,212,0.006279063,12660,647,281,0.022195893,408,0.032227488,522,0.041232227,531,0.041943128,319,0.025197472,909,0.071800948,1383,0.109241706,2314,0.182780411,1494,0.118009479,2554,0.201737757,1945,0.153633491,71498,594,0.046919431,2153,0.170063191,27322,2442,0.089378523,5314,0.194495279,8972,0.32838006,10594,0.387746139
860Z200US97204,97204,1001,114,0.113886114,599,0.598401598,153,0.152847153,16,0.015984016,33,0.032967033,2,0.001998002,7,0.006993007,431,184,61,0.141531323,0,0,181,0.419953596,0,0,21,0.048723898,92,0.213457077,10,0.023201856,30,0.069605568,0,0,36,0.083526682,0,0,,0,0,278,0.645011601,1027,179,0.17429406,260,0.253164557,493,0.480038948,95,0.092502434
860Z200US97205,97205,8593,819,0.095310136,6132,0.713604096,341,0.039683463,72,0.008378913,562,0.065402071,9,0.001047364,68,0.007913418,5720,459,456,0.07972028,487,0.08513986,507,0.088636364,256,0.044755245,176,0.030769231,378,0.066083916,616,0.107692308,935,0.163461538,357,0.062412587,542,0.094755245,1010,0.176573427,49708,548,0.095804196,1615,0.282342657,7844,339,0.043217746,1055,0.134497705,2216,0.282508924,4234,0.539775625
860Z200US97206,97206,51072,5239,0.10258067,35179,0.688811873,1369,0.026805294,289,0.005658678,4723,0.092477287,195,0.003818139,359,0.007029292,21338,727,402,0.018839629,413,0.019355141,641,0.030040304,627,0.029384197,557,0.026103665,1048,0.049114256,2169,0.101649639,4463,0.209157372,3451,0.161730247,4091,0.191723685,3476,0.162901865,77133,1130,0.052957166,3266,0.153060268,43410,3211,0.073969132,8153,0.187813868,13328,0.307026031,18718,0.43119097
860Z200US97208,97208,22,1,0.045454545,6,0.272727273,6,0.272727273,2,0.090909091,1,0.045454545,0,0,1,0.045454545,0,13,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,0,,0,,0,,0,
860Z200US97209,97209,22755,2069,0.090925071,16013,0.70371347,955,0.041968798,238,0.01045924,1677,0.073698088,59,0.002592837,145,0.006372226,13794,691,722,0.052341598,530,0.038422503,1076,0.07800493,501,0.036320139,802,0.058141221,757,0.054878933,1003,0.072712774,1622,0.117587357,1557,0.112875163,2230,0.161664492,2994,0.217050892,72323,571,0.041394809,2149,0.155792373,18843,553,0.029347768,1906,0.101151621,3904,0.207185692,12480,0.662314918
860Z200US97210,97210,13016,993,0.076290719,10071,0.773740012,228,0.017516902,47,0.00361094,743,0.057083589,24,0.001843884,99,0.007606023,6647,441,185,0.027832105,231,0.03475252,178,0.026778998,176,0.02647811,309,0.046487137,645,0.097036257,581,0.087407853,859,0.129231232,753,0.113284188,1092,0.16428464,1638,0.24642696,79387,43,0.006469084,549,0.082593651,10124,278,0.027459502,787,0.077736073,1941,0.191722639,7118,0.703081786
860Z200US97211,97211,33762,3511,0.103992654,21896,0.648539778,4234,0.125407263,182,0.005390676,1115,0.033025295,141,0.004176293,242,0.007167822,14188,739,418,0.029461517,360,0.025373555,585,0.041232027,324,0.0228362,377,0.026571751,847,0.059698337,822,0.057936284,2205,0.155413025,1656,0.116718354,2575,0.181491401,4019,0.28326755,93743,395,0.027840429,1797,0.126656329,28358,1526,0.053811975,3297,0.116263488,8215,0.289688977,15320,0.54023556
860Z200US97212,97212,26568,1762,0.066320385,20038,0.754215598,1653,0.062217706,103,0.003876844,840,0.031616983,54,0.00203252,131,0.004930744,11333,678,225,0.019853525,214,0.018882908,168,0.014823965,258,0.022765375,184,0.016235772,513,0.045266037,707,0.062384188,1410,0.124415424,1115,0.098385247,2214,0.195358687,4325,0.381628871,115417,286,0.025236036,1545,0.136327539,22698,509,0.022424883,2696,0.118776985,4250,0.187241167,15243,0.671556965
860Z200US97213,97213,31260,2263,0.072392834,23484,0.751247601,1022,0.032693538,172,0.005502239,1885,0.060300704,53,0.001695457,179,0.005726168,14289,698,250,0.017495976,339,0.023724543,345,0.024144447,307,0.021485058,358,0.025054238,806,0.056407026,1443,0.100986773,2303,0.16117293,1741,0.121841976,2753,0.192665687,3644,0.255021345,86005,570,0.039890825,1837,0.128560431,26150,1312,0.050172084,3244,0.124053537,6567,0.251128107,15027,0.574646272
860Z200US97214,97214,28403,2280,0.080273211,21922,0.771819878,554,0.019504982,124,0.004365736,1185,0.041720945,31,0.001091434,236,0.008308981,14412,724,470,0.032611712,425,0.029489314,455,0.031570913,335,0.023244518,276,0.019150708,1032,0.071606994,1434,0.099500416,2228,0.154593394,1901,0.131903969,2588,0.179572578,3268,0.226755482,82549,427,0.029628088,1655,0.11483486,25545,628,0.024584067,2594,0.101546291,5577,0.218320611,16746,0.655549031
860Z200US97215,97215,18221,1276,0.070029087,14036,0.77031996,318,0.01745239,52,0.00285385,1006,0.05521102,48,0.002634323,158,0.008671313,7335,336,184,0.025085208,83,0.01131561,234,0.03190184,160,0.021813224,251,0.034219496,442,0.060259032,737,0.100477164,932,0.127062031,1003,0.13674165,1273,0.173551466,2036,0.277573279,91680,234,0.03190184,952,0.129788684,14355,653,0.045489377,1644,0.114524556,3861,0.268965517,8197,0.57102055
860Z200US97216,97216,17488,2197,0.125629003,10349,0.591777219,1280,0.073193047,177,0.010121226,2192,0.125343092,109,0.006232845,95,0.005432296,6986,555,106,0.015173204,182,0.026052104,470,0.067277412,259,0.037074148,329,0.047094188,700,0.100200401,965,0.13813341,1332,0.190667048,954,0.136558832,865,0.123819067,824,0.117950186,55590,290,0.041511595,1212,0.173489837,14262,1742,0.122142757,3601,0.252489132,4530,0.317627261,4389,0.30774085
860Z200US97217,97217,36086,3912,0.108407693,24487,0.678573408,2950,0.081749155,238,0.006595356,1251,0.034667184,252,0.006983318,271,0.007509838,15276,554,374,0.024482849,257,0.016823776,491,0.032141922,611,0.039997382,451,0.029523435,667,0.043663263,1192,0.078030898,2230,0.145980623,2120,0.138779785,3227,0.2112464,3656,0.239329667,92255,378,0.024744698,2226,0.145718775,30158,1392,0.046156907,3931,0.13034684,8692,0.288215399,16143,0.535280854
860Z200US97218,97218,14748,3256,0.220775698,8037,0.544955248,1501,0.101776512,118,0.008001085,763,0.051735829,80,0.005424464,95,0.006441551,6058,480,156,0.025751073,255,0.0420931,191,0.031528557,168,0.027731925,235,0.03879168,332,0.054803566,596,0.098382304,1162,0.191812479,1023,0.168867613,1240,0.204688016,700,0.115549686,73602,241,0.039782106,1111,0.183393859,12448,1292,0.103791774,2541,0.204129177,3680,0.29562982,4935,0.396449229
860Z200US97219,97219,42474,2942,0.069265904,32818,0.772660922,1165,0.027428545,181,0.004261431,1805,0.042496586,130,0.003060696,272,0.006403918,18306,675,442,0.024145089,119,0.006500601,373,0.020375833,450,0.024582104,308,0.016825085,858,0.046869879,1283,0.07008631,2022,0.110455588,2705,0.14776576,3492,0.190757129,6254,0.341636622,106242,334,0.018245384,1225,0.06691795,35323,855,0.024205192,3167,0.089658296,9401,0.266143872,21900,0.619992639
860Z200US97220,97220,29357,3890,0.132506728,16823,0.573049017,2558,0.087134244,236,0.008038969,3262,0.111114896,324,0.01103655,183,0.006233607,11525,583,586,0.050845987,316,0.027418655,545,0.047288503,359,0.031149675,586,0.050845987,955,0.082863341,1356,0.117657267,2102,0.182386117,1386,0.120260304,2026,0.175791757,1308,0.113492408,61333,735,0.063774403,2262,0.19626898,23661,2458,0.103884029,6280,0.265415663,8047,0.340095516,6876,0.290604793
860Z200US97221,97221,12821,734,0.057249825,10243,0.798923641,219,0.017081351,31,0.002417908,577,0.04500429,15,0.001169956,77,0.006005772,5339,296,169,0.031653868,112,0.020977711,120,0.022476119,85,0.015920584,88,0.016482487,251,0.047012549,379,0.070987076,510,0.095523506,464,0.086907661,800,0.149840794,2361,0.442217644,124449,149,0.027907848,328,0.061434726,10077,310,0.030763124,962,0.09546492,1842,0.182792498,6963,0.690979458
860Z200US97222,97222,36316,4202,0.115706576,27383,0.754020267,641,0.017650622,275,0.00757242,1004,0.027646217,138,0.003799978,222,0.006113008,15798,638,479,0.030320294,224,0.01417901,518,0.032788961,405,0.025636156,482,0.030510191,1281,0.081086213,2229,0.141093809,2991,0.189327763,2070,0.131029244,2905,0.183884036,2214,0.140144322,68366,503,0.031839473,2336,0.147866819,29906,2312,0.077308901,7105,0.237577744,10376,0.346953789,10113,0.338159567
860Z200US97223,97223,49967,6719,0.134468749,34357,0.687593812,912,0.018252046,178,0.003562351,3717,0.074389097,435,0.008705746,235,0.004703104,20306,752,378,0.018615188,331,0.016300601,485,0.023884566,555,0.027331823,521,0.025657441,1059,0.052152073,1878,0.09248498,2949,0.145228011,2299,0.113217768,4561,0.224613415,5290,0.260514134,96222,767,0.037772087,2297,0.113119275,39563,2009,0.050779769,6505,0.164421303,12692,0.320804792,18357,0.463994136
860Z200US97225,97225,26247,2167,0.082561817,20061,0.764315922,485,0.018478302,83,0.003162266,1588,0.060502153,58,0.002209776,126,0.004800549,11686,624,117,0.01001198,154,0.013178162,160,0.013691597,346,0.029608078,188,0.016087626,828,0.070854013,1075,0.091990416,1801,0.154116036,1290,0.110388499,2412,0.206400821,3315,0.283672771,97661,198,0.016943351,1053,0.090107821,21273,504,0.023692004,2257,0.10609693,6062,0.284962159,12450,0.585248907
860Z200US97227,97227,6058,666,0.109937273,3895,0.642951469,676,0.111587983,46,0.007593265,273,0.045064378,10,0.00165071,38,0.006272697,3257,474,141,0.043291372,120,0.036843721,59,0.01811483,76,0.023334357,65,0.019957016,173,0.053116365,223,0.068467915,693,0.21277249,508,0.155971753,439,0.134786613,760,0.233343568,77951,154,0.047282776,463,0.142155358,5583,129,0.023105857,900,0.161203654,1042,0.186638008,3512,0.629052481
860Z200US97229,97229,73602,5531,0.075147414,40734,0.553436048,1250,0.016983234,170,0.00230972,20550,0.279204369,174,0.002364066,437,0.005937339,26324,662,438,0.016638809,262,0.009952895,343,0.013029935,413,0.015689105,411,0.015613129,1292,0.049080687,1838,0.069822215,2680,0.101808236,2541,0.096527883,4629,0.175847136,11477,0.435989971,137006,322,0.012232184,1486,0.056450387,52307,1761,0.033666622,5594,0.106945533,11317,0.216357275,33635,0.64303057
860Z200US97230,97230,41562,6767,0.162816996,21612,0.519994225,4746,0.114190847,282,0.006785044,4624,0.111255474,718,0.017275396,234,0.005630143,15825,873,378,0.023886256,336,0.021232227,806,0.05093207,538,0.03399684,645,0.040758294,1395,0.088151659,2229,0.140853081,2933,0.185339652,2116,0.13371248,2395,0.151342812,2054,0.129794629,62982,1143,0.072227488,2898,0.183127962,33367,4257,0.127581143,8678,0.260077322,11749,0.352114364,8683,0.260227171
860Z200US97232,97232,15382,1329,0.086399688,11264,0.732284488,636,0.041347029,92,0.005981017,828,0.053829151,32,0.002080354,100,0.006501105,8245,524,145,0.017586416,193,0.023408126,205,0.024863554,352,0.042692541,204,0.024742268,987,0.119708914,1006,0.122013341,1518,0.184111583,870,0.105518496,1322,0.1603396,1443,0.175015161,67591,101,0.012249848,1021,0.123832626,13092,630,0.04812099,1068,0.081576535,3000,0.229147571,8394,0.641154904
860Z200US97233,97233,41625,10493,0.252084084,19415,0.466426426,3792,0.091099099,378,0.009081081,4510,0.108348348,579,0.01390991,187,0.004492492,13833,841,417,0.030145305,556,0.04019374,970,0.070122172,774,0.055953155,859,0.062097882,1424,0.10294224,2070,0.14964216,2738,0.19793248,1761,0.127304272,1596,0.115376274,668,0.04829032,48360,1376,0.099472276,4371,0.315983518,29359,5711,0.194522974,8302,0.282775299,10744,0.365952519,4602,0.156749208
860Z200US97236,97236,40193,6929,0.172393203,20562,0.511581619,2912,0.072450427,296,0.007364466,6388,0.158933148,620,0.015425572,163,0.004055433,13284,726,290,0.021830774,371,0.027928335,732,0.055103884,689,0.051866908,675,0.050813008,1207,0.090861186,1599,0.12037037,2756,0.20746763,1400,0.105389943,1974,0.148599819,1591,0.119768142,58093,1267,0.095377898,3631,0.273336344,29238,4727,0.161673165,8482,0.290101922,10314,0.352760107,5715,0.195464806
860Z200US97239,97239,18323,1248,0.068111117,13740,0.749877204,378,0.02062981,260,0.014189816,1286,0.070185013,29,0.00158271,134,0.007313213,9239,535,438,0.047407728,58,0.006277736,137,0.014828445,341,0.036908756,152,0.016451997,457,0.049464228,853,0.092326009,889,0.096222535,1468,0.158891655,1653,0.178915467,2793,0.302305444,96477,173,0.01872497,668,0.072302197,15696,220,0.01401631,908,0.057849134,3212,0.204638124,11356,0.723496432
860Z200US97266,97266,36095,5865,0.162487879,18301,0.507023133,2238,0.062003048,359,0.009945976,6588,0.182518354,369,0.010223023,177,0.004903726,13035,612,268,0.020560031,559,0.042884542,585,0.044879171,363,0.027848101,496,0.0380514,1082,0.083007288,1788,0.13716916,2201,0.168853088,1766,0.135481396,2379,0.182508631,1548,0.118757192,63274,886,0.067970848,2930,0.22477944,28282,4435,0.156813521,7807,0.276041298,8948,0.31638498,7092,0.250760201
